City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Vanavara,60.34,102.2797,-36.38,80,71,7.07,RU,1611844866
Coquimbo,-29.9533,-71.3436,60.8,88,90,11.5,CL,1611844866
São Filipe,14.8961,-24.4956,77.99,54,55,7.81,CV,1611844866
Saint Paul Harbor,57.79,-152.4072,33.8,86,90,4.61,US,1611844866
Yurkivka,49.0126,31.1013,30.67,98,100,15.64,UA,1611844867
Guymon,36.6828,-101.4816,28.4,86,1,14.97,US,1611844590
Inhambane,-23.865,35.3833,89.6,66,40,9.22,MZ,1611844867
Thompson,55.7435,-97.8558,-32.8,68,20,3.44,CA,1611844867
Ponta do Sol,32.6667,-17.1,63.0,88,40,6.91,PT,1611844867
Richards Bay,-28.783,32.0377,71.37,86,96,7.56,ZA,1611844867
Hermanus,-34.4187,19.2345,73.0,58,0,5.01,ZA,1611844867
Russell,32.3502,-85.1999,41.0,56,40,14.97,US,1611844868
Angren,41.0167,70.1436,32.16,72,0,7.27,UZ,1611844868
Hithadhoo,-0.6,73.0833,80.58,75,100,9.8,MV,1611844756
Nikolskoye,59.7035,30.7861,33.8,86,75,6.71,RU,1611844868
Port Hardy,50.6996,-127.4199,41.0,93,75,2.3,CA,1611844868
Hilo,19.7297,-155.09,68.0,88,90,4.61,US,1611844868
Shar,49.5886,81.0453,9.1,93,0,8.3,KZ,1611844868
Goma,-1.6792,29.2228,77.0,53,75,6.91,CD,1611844869
Pizarro,4.9533,-77.366,79.5,86,98,5.73,CO,1611844869
Faanui,-16.4833,-151.75,80.92,71,23,9.89,PF,1611844869
Hobart,-42.8794,147.3294,57.2,67,90,4.61,AU,1611844819
Road Town,18.4167,-64.6167,82.4,57,40,9.22,VG,1611844869
Lebu,-37.6167,-73.65,58.95,79,100,2.19,CL,1611844869
Amapá,1.0,-52.0,83.37,64,91,3.42,BR,1611844869
Barrow,71.2906,-156.7887,-7.6,77,90,4.61,US,1611844869
Cape Town,-33.9258,18.4232,75.2,43,0,19.57,ZA,1611844672
Darhan,49.4867,105.9228,0.9,87,92,7.52,MN,1611844731
Victor Harbor,-35.5667,138.6167,66.0,79,99,1.99,AU,1611844870
Havre-St-Pierre,50.2334,-63.5986,10.4,67,1,6.91,CA,1611844782
The Valley,18.217,-63.0578,82.4,57,20,13.8,AI,1611844870
Verkhnyaya Inta,65.9811,60.3094,-10.41,91,100,9.44,RU,1611844870
Beringovskiy,63.05,179.3167,1.65,93,100,18.9,RU,1611844870
Skjervøy,70.0311,20.9714,19.4,58,75,14.97,NO,1611844870
Kalmunai,7.4167,81.8167,77.38,85,100,12.01,LK,1611844871
Westport,41.1415,-73.3579,30.2,55,90,14.97,US,1611844808
Oudtshoorn,-33.5907,22.2014,73.4,49,0,10.36,ZA,1611844871
Grand Gaube,-20.0064,57.6608,82.0,73,24,1.99,MU,1611844871
La Ronge,55.1001,-105.2842,-0.4,78,90,6.91,CA,1611844871
Terråk,65.087,12.3715,30.2,64,20,12.66,NO,1611844871
Bonthe,7.5264,-12.505,87.46,54,26,10.36,SL,1611844871
Bengkulu,-3.8004,102.2655,76.1,92,100,14.03,ID,1611844871
Necochea,-38.5473,-58.7368,81.0,33,2,4.0,AR,1611844871
Chokurdakh,70.6333,147.9167,-17.48,88,100,6.4,RU,1611844872
Itarema,-2.9248,-39.9167,86.54,62,100,14.76,BR,1611844872
Pacifica,37.6138,-122.4869,52.0,93,90,8.05,US,1611844872
Isangel,-19.55,169.2667,78.76,84,98,11.72,VU,1611844872
Esperance,-33.8667,121.9,59.0,88,0,6.91,AU,1611844872
Port-Gentil,-0.7193,8.7815,86.0,70,20,13.8,GA,1611844872
Lompoc,34.6391,-120.4579,53.6,87,90,10.36,US,1611844866
Bontang,0.1333,117.5,77.63,89,100,7.36,ID,1611844873
Mahébourg,-20.4081,57.7,82.4,69,40,10.36,MU,1611844873
Lavrentiya,65.5833,-171.0,-4.56,86,100,17.34,RU,1611844873
Coyhaique,-45.5752,-72.0662,51.8,54,75,8.05,CL,1611844873
Breves,-1.6822,-50.4803,84.54,72,65,1.03,BR,1611844791
Tuatapere,-46.1333,167.6833,48.0,77,86,8.99,NZ,1611844873
Ajdabiya,30.7554,20.2263,61.83,60,9,27.65,LY,1611844873
St-Jean-Port-Joli,47.2171,-70.2658,24.8,93,100,11.63,CA,1611844873
Vila Franca do Campo,37.7167,-25.4333,66.0,94,75,11.5,PT,1611844874
Kiryat Gat,31.61,34.7642,57.99,27,88,3.0,IL,1611844675
Katsuura,35.1333,140.3,41.0,87,75,5.75,JP,1611844874
Konongo,6.6167,-1.2167,101.93,19,76,2.21,GH,1611844874
Kaitangata,-46.2817,169.8464,48.0,87,92,10.0,NZ,1611844874
Tommot,58.9564,126.2925,-35.66,79,100,0.98,RU,1611844874
Wanning,18.8003,110.3967,65.57,86,3,8.52,CN,1611844874
Ribeira Grande,38.5167,-28.7,64.4,88,40,14.97,PT,1611844874
Sorong,-0.8833,131.25,80.35,81,100,15.99,ID,1611844875
Rongcheng,30.634,117.8517,39.33,69,0,2.3,CN,1611844875
Kahului,20.8947,-156.47,71.6,60,1,13.8,US,1611844875
Caravelas,-17.7125,-39.2481,86.56,52,42,9.08,BR,1611844875
Norman Wells,65.282,-126.8329,-23.8,76,75,3.44,CA,1611844875
São Luiz Gonzaga,-28.4083,-54.9608,80.83,72,71,6.06,BR,1611844732
Udachny,66.4167,112.4,-40.11,79,63,3.96,RU,1611844875
Naze,28.3667,129.4833,53.04,76,14,24.34,JP,1611844875
Ola,59.5833,151.2833,-18.17,80,0,10.76,RU,1611844876
Ferkessédougou,9.6,-5.2,98.91,8,1,6.22,CI,1611844876
Yabēlo,4.8833,38.0833,77.97,24,99,14.0,ET,1611844876
Roald,62.5833,6.1333,35.6,64,75,16.11,NO,1611844876
Tasiilaq,65.6145,-37.6368,26.6,86,90,26.46,GL,1611844876
Laguna,38.421,-121.4238,48.99,93,90,13.8,US,1611844876
Avera,33.194,-82.5271,42.8,61,1,11.5,US,1611844876
Kapaa,22.0752,-159.319,73.4,78,90,21.85,US,1611844656
Tuktoyaktuk,69.4541,-133.0374,-34.6,67,1,6.91,CA,1611844877
Bilibino,68.0546,166.4372,-17.25,82,100,7.34,RU,1611844877
Krapkowice,50.4752,17.9654,34.0,86,100,4.0,PL,1611844877
Butaritari,3.0707,172.7902,81.01,81,86,17.94,KI,1611844877
Santa Maria,-29.6842,-53.8069,75.79,81,95,5.75,BR,1611844827
Cabo San Lucas,22.8909,-109.9124,57.2,82,75,4.61,MX,1611844696
Panzhihua,26.5851,101.7128,46.0,59,0,1.9,CN,1611844877
Waipawa,-41.4122,175.5153,55.4,88,90,25.32,NZ,1611844877
Avarua,-21.2078,-159.775,78.8,89,20,5.75,CK,1611844878
Souillac,-20.5167,57.5167,82.4,69,40,10.36,MU,1611844878
Makkah al Mukarramah,21.4267,39.8261,80.85,49,5,17.18,SA,1611844878
Hauterive,46.0901,3.4459,60.8,63,75,8.05,FR,1611844878
Gouré,13.9835,10.2704,86.0,5,4,10.0,NE,1611844878
Touros,-5.1989,-35.4608,87.8,55,40,16.11,BR,1611844878
Oga,46.4631,10.347,51.01,100,75,4.61,IT,1611844879
Codrington,-38.2667,141.9667,65.88,93,100,9.57,AU,1611844879
Khatanga,71.9667,102.5,-37.05,77,0,5.37,RU,1611844879
Klaksvík,62.2266,-6.589,30.2,93,40,20.96,FO,1611844880
Puerto Ayora,-0.7393,-90.3518,79.0,83,40,10.36,EC,1611844880
Provideniya,64.3833,-173.3,1.9,88,100,17.65,RU,1611844880
Phan Thiet,10.9333,108.1,72.79,75,100,13.0,VN,1611844694
Pevek,69.7008,170.3133,-19.61,86,79,1.97,RU,1611844881
Nouadhibou,20.931,-17.0347,71.91,52,0,3.24,MR,1611844875
Tiksi,71.6872,128.8694,-20.97,87,100,5.88,RU,1611844881
Jacqueville,5.2052,-4.4146,87.8,74,40,11.5,CI,1611844881
Halifax,44.6453,-63.5724,34.0,80,75,4.23,CA,1611844878
Korla,41.7597,86.1469,23.13,83,0,1.48,CN,1611844881
Lagos,6.5833,3.75,91.4,62,75,6.91,NG,1611844881
Ilhabela,-23.7781,-45.3581,90.59,51,100,3.2,BR,1611844710
Vidim,56.4088,103.1106,-26.75,83,100,6.13,RU,1611844882
Kluang,2.0251,103.3328,77.0,88,20,2.3,MY,1611844882
São Gabriel da Cachoeira,-0.1303,-67.0892,80.6,83,75,5.75,BR,1611844882
Sergeevka,53.88,67.4158,21.27,95,100,17.05,KZ,1611844882
Los Llanos de Aridane,28.6585,-17.9182,69.8,73,0,4.61,ES,1611844883
Paris,48.8534,2.3488,57.2,82,90,16.11,FR,1611844207
Urusha,54.05,122.9,-35.48,78,0,2.86,RU,1611844883
Nome,64.5011,-165.4064,15.8,57,90,8.05,US,1611844708
Salalah,17.0151,54.0924,77.0,53,1,5.75,OM,1611844884
Hong Kong,22.2855,114.1577,66.0,55,0,19.08,HK,1611844884
Ginir,7.1333,40.7,70.83,25,48,10.29,ET,1611844884
Abalak,58.1286,68.5944,28.45,95,100,13.73,RU,1611844884
Varhaug,58.6147,5.6457,30.2,64,0,5.75,NO,1611844884
Bambous Virieux,-20.3428,57.7575,82.4,69,40,10.36,MU,1611844885
Iracoubo,5.4802,-53.2011,79.95,72,79,10.92,GF,1611844885
Cockburn Town,21.4612,-71.1419,78.8,65,40,5.75,TC,1611844763
Saint-Pierre,-21.3393,55.4781,86.0,66,90,9.22,RE,1611844885
Hinton,53.4001,-117.5857,-2.2,78,91,2.3,CA,1611844885
Sterling,39.0062,-77.4286,28.99,50,75,17.27,US,1611844885
Severo-Kuril'sk,50.6789,156.125,28.81,94,92,23.73,RU,1611844885
Camaná,-16.6228,-72.7111,74.75,63,30,8.59,PE,1611844886
Ixtapa,20.7,-105.2,59.0,94,40,2.37,MX,1611844886
Fortuna,40.5982,-124.1573,45.0,100,90,13.8,US,1611844886
Sakakah,29.9697,40.2064,68.0,26,0,9.22,SA,1611844605
Follonica,42.9263,10.7616,55.0,74,100,8.99,IT,1611844886
Srandakan,-7.9386,110.2506,78.71,83,100,7.16,ID,1611844886
Vao,-22.6667,167.4833,77.2,84,65,23.09,NC,1611844886
Osypenko,46.9136,36.8253,34.0,53,94,8.01,UA,1611844886
Mayo,38.8876,-76.5119,30.99,59,20,16.11,US,1611844887
Saint George,37.1041,-113.5841,39.99,56,20,5.53,US,1611844887
Kokopo,-4.352,152.2633,79.34,81,99,11.5,PG,1611844887
Carutapera,-1.195,-46.02,86.04,59,100,8.48,BR,1611844887
George Town,5.4112,100.3354,78.8,83,40,2.1,MY,1611844888
Cidreira,-30.1811,-50.2056,77.29,69,49,6.29,BR,1611844888
Pemba,-12.974,40.5178,86.0,79,20,13.8,MZ,1611844813
Poum,-20.2333,164.0167,80.37,80,89,14.43,NC,1611844888
Paraíso,9.8383,-83.8656,69.01,64,20,20.71,CR,1611844888
Mount Isa,-20.7333,139.5,82.4,57,48,7.07,AU,1611844888
Abu Dhabi,24.4667,54.3667,73.4,60,0,6.91,AE,1611844889
Valle del Guamuez,0.4525,-76.9192,77.0,78,0,2.3,CO,1611844889
Mirny,62.5353,113.9611,-44.55,79,78,4.03,RU,1611844889
Houma,29.5958,-90.7195,44.01,75,1,12.66,US,1611844870
Kattivākkam,13.2167,80.3167,78.8,73,20,5.75,IN,1611844889
Sharjah city,25.3573,55.4033,75.2,33,0,5.75,AE,1611844745
Moundou,8.5667,16.0833,100.67,8,82,5.61,TD,1611844890
Yangi Marg`ilon,40.4272,71.7189,35.6,51,0,4.61,UZ,1611844890
Huilong,31.8111,121.655,39.0,57,0,1.99,CN,1611844890
Saldanha,-33.0117,17.9442,75.2,41,0,18.41,ZA,1611844890
Suoyarvi,62.0833,32.35,24.08,99,96,4.56,RU,1611844890
Chapais,49.7834,-74.8492,-0.4,78,90,11.5,CA,1611844890
Plettenberg Bay,-34.0527,23.3716,69.15,59,0,4.0,ZA,1611844890
Tottori-shi,35.5,134.2333,36.18,81,98,26.31,JP,1611844715
Abu Samrah,35.3029,37.1841,49.3,69,100,10.63,SY,1611844891
Forsytheganj,52.6333,29.7333,29.61,98,100,5.39,BY,1611844891
Ashland,40.8167,-82.2665,19.4,79,90,12.66,US,1611844640
Dingle,10.9995,122.6711,73.47,90,64,9.62,PH,1611844891
Yining,29.0361,114.5636,40.08,68,0,1.41,CN,1611844891
Belmonte,-15.8631,-38.8828,80.6,65,40,5.75,BR,1611844891
Carnarvon,-24.8667,113.6333,77.0,73,0,21.85,AU,1611844891
Gravelbourg,49.8834,-106.5512,8.6,85,48,9.22,CA,1611844892
Warmbad,-28.45,18.7333,93.13,11,0,6.46,NA,1611844892
Lukovetskiy,64.2956,41.9211,12.2,79,90,11.18,RU,1611844892
Torbay,47.6666,-52.7314,30.0,86,90,10.36,CA,1611844892
Khovd,48.0056,91.6419,4.24,85,0,0.85,MN,1611844892
Meulaboh,4.1363,96.1285,77.63,85,94,4.23,ID,1611844892
Pouébo,-20.4,164.5667,77.7,83,93,13.09,NC,1611844893
Upernavik,72.7868,-56.1549,-10.08,89,65,10.31,GL,1611844893
Los Andes,-32.8337,-70.5983,79.0,79,0,1.01,CL,1611844893
Leningradskiy,69.3833,178.4167,-22.95,86,88,2.66,RU,1611844893
Sinnamary,5.3833,-52.95,79.34,75,92,11.1,GF,1611844893
Lagoa,39.05,-27.9833,61.07,86,32,24.99,PT,1611844893
Makīnsk,52.6292,70.4169,20.14,96,100,14.36,KZ,1611844893
Gurupá,-1.405,-51.64,83.07,75,93,3.36,BR,1611844893
Chinsali,-10.5414,32.0816,75.9,82,95,1.28,ZM,1611844894
Port Elizabeth,-33.918,25.5701,77.0,44,0,10.36,ZA,1611844894
Ineu,46.4333,21.85,36.0,69,0,10.36,RO,1611844894
Faya,18.3851,42.4509,71.6,42,20,6.91,SA,1611844894
Chara,56.9064,118.2631,-37.57,75,43,0.45,RU,1611844894
La Unión,-5.4,-80.75,80.67,55,95,6.53,PE,1611844894
Narsaq,60.9167,-46.05,44.6,31,75,23.02,GL,1611844894
Shestakovo,56.4915,103.96,-23.75,82,100,5.99,RU,1611844895
Newport,51.5877,-2.9984,52.0,94,100,1.99,GB,1611844895
Barra de Tecoanapa,16.5167,-98.75,80.01,53,100,2.35,MX,1611844895
Lichinga,-13.3128,35.2406,77.0,65,40,3.44,MZ,1611844895
Namatanai,-3.6667,152.4333,80.44,80,100,6.49,PG,1611844895
Cabedelo,-6.9811,-34.8339,87.8,58,75,12.66,BR,1611844895
Tongliao,43.6125,122.2653,-12.64,83,25,8.79,CN,1611844749
Cayenne,4.9333,-52.3333,86.0,66,90,12.66,GF,1611844847
Longyearbyen,78.2186,15.6401,1.4,66,20,29.93,SJ,1611844896
Giyani,-23.3025,30.7187,77.34,80,75,17.38,ZA,1611844896
Qasigiannguit,68.8193,-51.1922,10.4,48,1,12.66,GL,1611844896
Rawson,-43.3002,-65.1023,68.2,29,0,20.87,AR,1611844896
Sørland,67.667,12.6934,32.0,64,40,16.11,NO,1611844896
Aguazul,5.1728,-72.5471,90.21,35,33,11.88,CO,1611844896
Constitución,-35.3333,-72.4167,66.52,57,100,8.39,CL,1611844897
Tongchuanshi,35.0806,109.0897,33.51,73,0,1.59,CN,1611844897
Taoudenni,22.6783,-3.9836,84.51,15,0,14.45,ML,1611844897
Guerrero Negro,27.9769,-114.0611,55.58,64,99,3.06,MX,1611844897
Margate,51.3813,1.3862,55.0,80,66,5.99,GB,1611844859
Padang,-0.9492,100.3543,80.6,78,75,4.61,ID,1611844897
Manchester,53.4809,-2.2374,50.0,87,75,5.75,GB,1611844897
Santa Cruz de la Sierra,-17.8,-63.1667,71.56,91,100,14.05,BO,1611844897
Griffith,41.5284,-87.4237,19.0,73,1,6.91,US,1611844636
Sioux Lookout,50.1001,-91.917,-27.4,75,20,3.44,CA,1611844850
Martinez,38.0194,-122.1341,50.0,87,90,3.44,US,1611844723
Kodinsk,58.6881,99.1844,-27.04,84,100,2.98,RU,1611844898
Avila,40.5833,-5.0,64.0,58,98,4.0,ES,1611844898
Dourados,-22.2211,-54.8056,74.93,83,94,10.51,BR,1611844898
Okha,53.5739,142.9478,2.77,94,100,5.64,RU,1611844898
Ghanzi,-21.5667,21.7833,85.24,47,84,11.45,BW,1611844898
Olafsvik,64.8945,-23.7142,29.75,87,29,3.02,IS,1611844899
Talara,-4.5772,-81.2719,78.8,65,0,16.11,PE,1611844899
Riwaka,-41.0833,173.0,57.0,64,89,2.24,NZ,1611844899
Kozhva,65.1073,57.0459,-6.83,90,100,8.7,RU,1611844899
Meadow Lake,34.8014,-106.5436,30.0,63,90,8.05,US,1611844899
Lenina,46.0667,39.7833,41.79,88,100,10.13,RU,1611844899
Haines Junction,60.7522,-137.5108,-29.2,68,66,3.44,CA,1611844899
Itoman,26.1247,127.6694,60.8,59,75,25.32,JP,1611844686
Talwandi Bhai,30.85,74.9333,50.65,43,0,5.35,IN,1611844899
Nola,40.922,14.5329,54.0,39,64,1.01,IT,1611844900
Zhigansk,66.7697,123.3711,-52.44,76,74,4.99,RU,1611844680
Karaton,-6.3424,106.1045,77.0,88,40,3.44,ID,1611844900
Bilma,18.6853,12.9164,81.86,13,0,6.55,NE,1611844900
Kosum Phisai,16.2486,103.0674,78.8,53,17,10.36,TH,1611844900
Pimentel,-6.8367,-79.9342,71.6,83,0,3.44,PE,1611844900
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,89.01,50,0,1.99,AR,1611844900
Leverkusen,51.0333,7.0,46.0,97,100,4.09,DE,1611844900
Khandyga,62.6667,135.6,-53.66,72,90,0.18,RU,1611844901
Dubbo,-32.25,148.6167,69.8,64,75,18.41,AU,1611844901
Marzuq,14.4,46.4667,70.16,29,0,9.51,YE,1611844901
Lüderitz,-26.6481,15.1594,75.24,49,0,31.72,NA,1611844901
Clyde River,70.4692,-68.5914,-18.4,76,1,3.44,CA,1611844901
Metro,-5.1131,105.3067,74.35,91,100,3.58,ID,1611844901
Marsá Maţrūḩ,31.3525,27.2453,62.6,36,40,19.57,EG,1611844902
Pauini,-7.7136,-66.9764,82.45,77,100,1.88,BR,1611844902
Mount Gambier,-37.8333,140.7667,71.6,73,90,9.22,AU,1611844902
Emerald,-23.5333,148.1667,80.6,61,90,14.97,AU,1611844902
Muisne,0.6,-80.0333,75.2,100,90,1.14,EC,1611844902
Shellbrook,53.2168,-106.4011,1.4,85,90,10.36,CA,1611844902
Usinsk,65.9939,57.5281,-17.36,86,97,10.76,RU,1611844902
Terney,45.0503,136.6092,14.25,93,100,15.64,RU,1611844903
Ambilobe,-13.2,49.05,79.48,82,100,2.44,MG,1611844903
Redmond,47.674,-122.1215,39.0,97,100,0.67,US,1611844608
Arraial do Cabo,-22.9661,-42.0278,93.2,55,0,13.8,BR,1611844903
West Sacramento,38.5805,-121.5302,48.2,93,90,13.8,US,1611844903
Lisala,2.15,21.5167,90.41,44,100,2.77,CD,1611844903
Bali,-8.5,115.0,82.4,78,40,4.61,ID,1611844904
Merauke,-8.4667,140.3333,80.91,81,100,11.88,ID,1611844904
Yulara,-25.2406,130.9889,87.8,45,91,11.5,AU,1611844904
La Rioja,42.25,-2.5,64.4,63,0,16.11,ES,1611844904
Ndioum,16.5129,-14.6471,95.5,8,0,14.56,SN,1611844904
Worcester,42.3334,-71.8328,28.99,74,90,8.05,US,1611844800
Kushtagi,15.7667,76.2,74.82,38,18,8.05,IN,1611844904
Chifeng,42.2683,118.9636,-10.23,76,6,3.85,CN,1611844904
San Alberto,7.7611,-73.3922,87.67,44,13,4.61,CO,1611844905
Adeje,28.1227,-16.726,73.4,68,0,8.05,ES,1611844905
Port Blair,11.6667,92.75,79.99,82,0,9.46,IN,1611844905
Saint-Joseph,-21.3667,55.6167,86.0,66,90,9.22,RE,1611844905
Bahía Blanca,-38.7196,-62.2724,78.73,21,15,10.0,AR,1611844766
Pundaguitan,6.3711,126.1689,81.63,75,77,9.31,PH,1611844905
Toamasina,-18.1667,49.3833,86.0,74,40,6.91,MG,1611844905
Iqaluit,63.7506,-68.5145,-11.2,70,1,40.29,CA,1611844906
Hamilton,39.1834,-84.5333,24.8,68,90,5.75,US,1611844906
Kavieng,-2.5744,150.7967,82.74,77,92,10.67,PG,1611844906
Bulgan,48.8125,103.5347,13.33,84,9,13.71,MN,1611844906
Cairns,-16.9167,145.7667,75.2,94,75,5.75,AU,1611844698
San Policarpo,12.1791,125.5072,78.87,79,99,15.95,PH,1611844906
Urbano Santos,-3.2078,-43.4036,83.73,78,100,4.63,BR,1611844906
São João da Barra,-21.6403,-41.0511,89.6,43,0,4.61,BR,1611844906
Zeya,53.75,127.2667,-20.85,83,100,2.48,RU,1611844907
Hasaki,35.7333,140.8333,36.0,100,75,8.05,JP,1611844907
Ulaangom,49.9811,92.0667,-13.14,88,87,1.14,MN,1611844907
Luganville,-15.5333,167.1667,77.22,80,100,2.19,VU,1611844907
Austin,30.2672,-97.7431,39.2,70,1,4.61,US,1611844510
Khotynets,53.1286,35.3966,33.66,98,100,13.73,RU,1611844908
Sarangani,5.4033,125.4636,82.06,72,71,9.78,PH,1611844908
Kirovsk,48.6375,38.6428,38.68,92,100,12.88,UA,1611844908
Athabasca,54.7169,-113.2854,-5.8,84,99,2.33,CA,1611844908
Pisco,-13.7,-76.2167,75.2,73,0,4.61,PE,1611844908
Cikupa,-6.2364,106.5083,80.01,88,40,3.44,ID,1611844904
Sfântu Gheorghe,45.8667,25.7833,28.99,81,100,3.0,RO,1611844908
Port Lincoln,-34.7333,135.8667,63.16,90,100,4.81,AU,1611844909
Sur,22.5667,59.5289,67.5,53,0,5.26,OM,1611844909
Northam,51.0333,-4.2167,52.0,96,100,5.99,GB,1611844909
Slonim,53.0867,25.3219,20.59,98,73,2.13,BY,1611844909
Arlit,18.7369,7.3853,84.88,13,0,5.46,NE,1611844909
Vestmannaeyjar,63.4427,-20.2734,32.0,69,20,23.02,IS,1611844909
Burnie,-41.0667,145.9167,55.99,63,87,15.01,AU,1611844910
Aden,12.7794,45.0367,76.41,68,0,14.25,YE,1611844678
Bereznehuvate,47.3078,32.8499,33.28,94,100,15.99,UA,1611844910
Staryy Nadym,65.6118,72.6842,-26.46,85,100,14.32,RU,1611844910
Nanortalik,60.1432,-45.2371,29.75,91,100,8.23,GL,1611844910
Arrondissement de Saint-Denis,48.9167,2.3333,57.2,77,75,12.66,FR,1611844910
Calvià,39.5657,2.5062,66.99,68,0,13.8,ES,1611844747
Pushkino,56.0172,37.8667,32.0,100,90,11.18,RU,1611844910
Corinth,37.9407,22.9573,52.0,34,1,10.0,GR,1611844911
San Jose,37.3394,-121.895,50.0,87,90,10.36,US,1611844892
Bull Savanna,17.8868,-77.5902,78.55,63,6,3.6,JM,1611844911
Egvekinot,66.3167,-179.1667,-14.69,86,100,22.41,RU,1611844911
Dogondoutchi,13.6393,4.0287,94.71,10,0,13.51,NE,1611844911
Jérémie,18.65,-74.1167,81.09,60,0,2.46,HT,1611844911
Samarai,-10.6167,150.6667,81.1,79,100,10.58,PG,1611844911
Ostrovnoy,68.0531,39.5131,1.87,91,79,11.34,RU,1611844911
Anadyr,64.75,177.4833,6.8,78,75,13.42,RU,1611844912
Iralaya,15.0,-83.2333,80.6,82,40,11.5,HN,1611844912
Ekhabi,53.5102,142.9671,2.64,94,100,5.35,RU,1611844912
Patacamaya,-17.2333,-67.9167,55.78,41,15,3.76,BO,1611844912
Kudat,6.8837,116.8477,80.6,83,40,4.61,MY,1611844913
Derbent,42.0678,48.2899,50.88,60,100,7.45,RU,1611844913
Santana,-0.0583,-51.1817,86.0,70,75,6.91,BR,1611844913
Iguape,-24.7081,-47.5553,90.82,51,89,4.38,BR,1611844823
‘Āhuimanu,21.4447,-157.8378,73.4,68,75,11.5,US,1611844913
Mayuge,0.4597,33.4803,78.06,56,87,9.71,UG,1611844913
Damaturu,11.747,11.9608,92.39,10,54,15.01,NG,1611844913
Olinda,-8.0089,-34.8553,84.2,58,40,10.36,BR,1611844914
El Calvario,14.1167,-89.9167,77.0,53,0,4.61,GT,1611844914
